destination_name,country,state_or_region,destination_type,budget_level,avg_trip_cost_inr,recommended_duration_days,rating,best_season,suitable_for,activities,popularity_score
Phuket,Thailand,Phuket Province,Beach,Medium,99000,6,4.5,Nov-Feb,"Friends, Family, Couple","Parasailing, Sunset cruise, Scuba diving, Jet skiing",99
Pattaya,Thailand,Chonburi Province,Beach,High,111500,4,4.8,Nov-Feb,"Honeymoon, Couple, Family, Friends","Seafood tasting, Beach parties, Jet skiing, Sunbathing, Parasailing",93
Krabi,Thailand,Krabi Province,Beach,Medium,61500,4,4.2,Nov-Feb,"Family, Friends, Honeymoon","Sunbathing, Snorkeling, Island hopping, Jet skiing",59
Chiang Mai,Thailand,Chiang Mai Province,Cultural,Medium,47500,2,4.3,Nov-Feb,"Couple, Friends, Solo","Art and craft workshops, Museum visits, Heritage walks, Local festivals, Cultural performances",62
Koh Samui,Thailand,Surat Thani Province,Beach,Medium,46500,3,4.6,Nov-Feb,"Family, Honeymoon, Friends","Island hopping, Jet skiing, Sunset cruise, Parasailing",72
Koh Phi Phi,Thailand,Krabi Province,Beach,Medium,46500,3,4.2,Nov-Feb,"Couple, Family, Honeymoon, Friends","Snorkeling, Jet skiing, Water sports, Parasailing, Beach parties",75
Ayutthaya,Thailand,Ayutthaya Province,Heritage,Medium,72500,4,4.1,Nov-Feb,"Family, Friends, Solo","Local cuisine tasting, Shopping for handicrafts, Photography, Fort and palace visits, Museum visits, Guided heritage walks",31
Chiang Rai,Thailand,Chiang Rai Province,Cultural,Low,38500,2,4.1,Nov-Feb,"Solo, Friends, Family, Couple","Heritage walks, Local festivals, Cultural performances, Museum visits",43
Bali (Kuta),Indonesia,Bali,Beach,High,82500,3,4.6,May-Sep,"Honeymoon, Couple","Jet skiing, Parasailing, Water sports, Snorkeling, Beach parties",93
Ubud,Indonesia,Bali,Cultural,High,99500,4,4.8,May-Sep,"Couple, Family","Sightseeing, Art and craft workshops, Museum visits, Local festivals",89
Nusa Dua,Indonesia,Bali,Luxury,High,119000,5,4.0,May-Sep,"Honeymoon, Business, Couple","Shopping, Fine dining, Houseboat stay, Private tours, Yacht cruise",68
Gili Islands,Indonesia,West Nusa Tenggara,Beach,Medium,67500,4,4.2,May-Sep,"Honeymoon, Couple","Seafood tasting, Sunbathing, Sunset cruise, Water sports",71
Jakarta,Indonesia,Jakarta,City,Medium,60500,3,4.5,May-Sep,"Couple, Family","Local markets exploration, Museum visits, Local cuisine tasting, Sightseeing, Shopping",71
Yogyakarta,Indonesia,Special Region of Yogyakarta,Heritage,High,100500,4,4.1,May-Sep,"Friends, Family","Local cuisine tasting, Guided heritage walks, Museum visits, Sightseeing",56
Lombok,Indonesia,West Nusa Tenggara,Beach,Medium,106000,6,4.1,May-Sep,"Honeymoon, Couple","Water sports, Snorkeling, Parasailing, Scuba diving, Beach parties",26
Komodo Island,Indonesia,East Nusa Tenggara,Wildlife,Low,42500,2,3.6,May-Sep,"Friends, Adventure, Family","Nature photography, Jungle safari, Camping, Bird watching",51
Singapore City,Singapore,Singapore,City,Medium,53000,2,4.5,Feb-Apr,"Family, Friends","Museum visits, Sightseeing, Shopping, Nightlife",86
Sentosa Island,Singapore,Singapore,Luxury,Medium,82000,4,4.7,Feb-Apr,"Family, Honeymoon, Business, Couple","Shopping, Fine dining, Spa and wellness, Heritage stay",91
Kuala Lumpur,Malaysia,Federal Territory,City,High,110000,4,4.3,Dec-Feb,"Solo, Friends","Sightseeing, Nightlife, Local cuisine tasting, Shopping, City tours",98
Langkawi,Malaysia,Kedah,Beach,Medium,64500,4,4.2,Dec-Feb,"Friends, Honeymoon, Family, Couple","Water sports, Island hopping, Beach parties, Sunbathing",58
Penang,Malaysia,Penang,Cultural,Medium,62000,4,4.6,Dec-Feb,"Family, Solo, Friends, Couple","Museum visits, Cultural performances, Sightseeing, Heritage walks",84
Malacca,Malaysia,Malacca,Heritage,Medium,40000,2,3.9,Dec-Feb,"Friends, Family, Solo","Sightseeing, Photography, Guided heritage walks, Museum visits, Local cuisine tasting",31
Genting Highlands,Malaysia,Pahang,Adventure,Medium,54000,3,4.0,Dec-Feb,"Friends, Solo, Adventure","Paragliding, Off-roading, Zip-lining, Trekking, Skydiving",62
Kota Kinabalu,Malaysia,Sabah,Nature,Medium,77500,5,3.8,Dec-Feb,"Friends, Solo, Couple","Trekking, Nature walks, Boating, Waterfall visits",25
Paris,France,Ile-de-France,City,Medium,100500,4,4.8,Apr-Jun & Sep-Oct,"Business, Family, Couple, Friends","Museum visits, Shopping, Sightseeing, Theme parks, City tours, Nightlife",98
Nice,France,Provence-Alpes-Cote d'Azur,Beach,High,152500,6,4.5,Apr-Jun & Sep-Oct,"Friends, Couple","Snorkeling, Seafood tasting, Sunbathing, Sunset cruise, Scuba diving",80
French Riviera (Cannes),France,Provence-Alpes-Cote d'Azur,Luxury,High,163000,4,4.2,Apr-Jun & Sep-Oct,"Family, Business","Yacht cruise, Private tours, Spa and wellness, Fine dining, Houseboat stay, Wine tasting",79
Lyon,France,Auvergne-Rhone-Alpes,Cultural,Medium,93500,3,3.9,Apr-Jun & Sep-Oct,"Friends, Solo","Art and craft workshops, Local festivals, Heritage walks, Cuisine tasting, Cultural performances",47
Bordeaux,France,Nouvelle-Aquitaine,Cultural,Low,90500,4,3.7,Apr-Jun & Sep-Oct,"Couple, Solo, Friends","Sightseeing, Heritage walks, Cuisine tasting, Cultural performances",29
Chamonix,France,Auvergne-Rhone-Alpes,Mountain,High,176000,7,4.1,Apr-Jun & Sep-Oct,"Couple, Adventure","Trekking, Cable car rides, Bonfire nights, Skiing, Valley sightseeing",77
Rome,Italy,Lazio,Heritage,Medium,106000,4,4.6,Apr-Jun & Sep-Oct,"Family, Friends, Solo","Local cuisine tasting, Photography, Guided heritage walks, Shopping for handicrafts, Sightseeing",90
Venice,Italy,Veneto,Cultural,High,147000,4,4.3,Apr-Jun & Sep-Oct,"Friends, Family, Solo","Heritage walks, Museum visits, Art and craft workshops, Sightseeing, Cultural performances, Local festivals",99
Florence,Italy,Tuscany,Heritage,High,111000,3,4.8,Apr-Jun & Sep-Oct,"Friends, Solo","Museum visits, Local cuisine tasting, Shopping for handicrafts, Fort and palace visits, Sightseeing",95
Milan,Italy,Lombardy,City,Medium,91500,3,4.0,Apr-Jun & Sep-Oct,"Business, Couple, Family, Friends","City tours, Museum visits, Sightseeing, Theme parks",80
Amalfi Coast,Italy,Campania,Luxury,Medium,115500,4,4.4,Apr-Jun & Sep-Oct,"Business, Couple, Family, Honeymoon","Yacht cruise, Heritage stay, Wine tasting, Shopping",81
Tuscany Countryside,Italy,Tuscany,Nature,High,114000,4,4.4,Apr-Jun & Sep-Oct,"Couple, Friends","Boating, Bird watching, Camping, Nature walks, Trekking",80
Naples,Italy,Campania,Cultural,Medium,99500,4,3.6,Apr-Jun & Sep-Oct,"Couple, Family, Solo","Cuisine tasting, Art and craft workshops, Museum visits, Local festivals",26
Cinque Terre,Italy,Liguria,Nature,High,114000,4,3.9,Apr-Jun & Sep-Oct,"Solo, Couple","Picnicking, Waterfall visits, Photography, Bird watching, Nature walks",79
Zurich,Switzerland,Zurich,City,High,116000,3,4.5,Jun-Sep,"Business, Solo, Family, Couple","Shopping, Museum visits, Nightlife, Local markets exploration, Theme parks, Local cuisine tasting",84
Interlaken,Switzerland,Bern,Adventure,Medium,117500,5,4.8,Jun-Sep,"Friends, Adventure, Solo","Skydiving, Rock climbing, Mountain biking, River rafting, Zip-lining, Bungee jumping",89
Zermatt,Switzerland,Valais,Mountain,Medium,94500,4,4.2,Jun-Sep,"Family, Couple, Adventure, Friends","Camping, Valley sightseeing, Bonfire nights, Trekking",70
Lucerne,Switzerland,Lucerne,Nature,Medium,103000,4,4.2,Jun-Sep,"Couple, Solo","Sightseeing, Boating, Trekking, Bird watching, Camping, Eco-tourism",77
Geneva,Switzerland,Geneva,City,Medium,85500,3,4.3,Jun-Sep,"Solo, Family, Business","Sightseeing, Local cuisine tasting, Museum visits, City tours",73
Jungfrau Region,Switzerland,Bern,Mountain,Medium,126500,7,4.5,Jun-Sep,"Family, Solo, Friends","Local sightseeing, Camping, Valley sightseeing, Trekking, Photography, Skiing",67
Grindelwald,Switzerland,Bern,Mountain,Medium,127000,6,3.7,Jun-Sep,"Solo, Couple, Family, Adventure","Skiing, Photography, Nature walks, Local sightseeing",38
Tokyo,Japan,Kanto,City,High,118000,3,4.7,Mar-May & Oct-Nov,"Solo, Friends","City tours, Shopping, Nightlife, Local markets exploration, Theme parks",95
Kyoto,Japan,Kansai,Heritage,High,125500,4,4.5,Mar-May & Oct-Nov,"Family, Friends, Solo","Guided heritage walks, Fort and palace visits, Sightseeing, Shopping for handicrafts",85
Osaka,Japan,Kansai,City,High,118000,3,4.6,Mar-May & Oct-Nov,"Family, Couple","Shopping, Local markets exploration, Nightlife, Museum visits, City tours, Local cuisine tasting",86
Hokkaido,Japan,Hokkaido,Nature,Medium,81500,3,4.1,Mar-May & Oct-Nov,"Couple, Family, Friends, Solo","Boating, Camping, Nature walks, Sightseeing, Picnicking, Waterfall visits",74
Mount Fuji Region,Japan,Chubu,Mountain,Medium,90500,5,4.3,Mar-May & Oct-Nov,"Family, Friends, Solo","Bonfire nights, Cable car rides, Valley sightseeing, Paragliding",58
Nara,Japan,Kansai,Heritage,Medium,85000,3,4.3,Mar-May & Oct-Nov,"Solo, Friends, Family","Shopping for handicrafts, Sightseeing, Local cuisine tasting, Guided heritage walks",81
Hiroshima,Japan,Chugoku,Cultural,Low,75500,4,3.6,Mar-May & Oct-Nov,"Family, Friends, Couple, Solo","Local festivals, Art and craft workshops, Cuisine tasting, Heritage walks, Sightseeing",38
Sydney,Australia,New South Wales,City,High,132000,3,4.7,Sep-Nov & Mar-May,"Family, Couple, Friends","Shopping, Local markets exploration, City tours, Local cuisine tasting, Sightseeing, Theme parks",86
Melbourne,Australia,Victoria,City,Medium,88000,2,4.4,Sep-Nov & Mar-May,"Solo, Family, Couple","Local markets exploration, Sightseeing, Nightlife, Theme parks, Museum visits",86
Gold Coast,Australia,Queensland,Beach,Medium,107000,5,4.6,Sep-Nov & Mar-May,"Honeymoon, Family","Snorkeling, Sunbathing, Parasailing, Scuba diving, Jet skiing, Seafood tasting",70
Great Barrier Reef (Cairns),Australia,Queensland,Adventure,Medium,109000,4,4.2,Sep-Nov & Mar-May,"Adventure, Friends, Solo","Camping, Zip-lining, Off-roading, Rock climbing, Skydiving",78
Perth,Australia,Western Australia,City,Medium,100000,3,3.9,Sep-Nov & Mar-May,"Business, Solo, Family","Theme parks, Sightseeing, City tours, Nightlife",44
Uluru,Australia,Northern Territory,Nature,Medium,119000,5,4.4,Sep-Nov & Mar-May,"Solo, Family, Couple","Trekking, Eco-tourism, Boating, Nature walks, Camping, Waterfall visits",84
Tasmania,Australia,Tasmania,Nature,Medium,112000,4,4.0,Sep-Nov & Mar-May,"Family, Friends","Nature walks, Sightseeing, Picnicking, Bird watching, Photography",44
